sample,type,density
plastic,Inside_GPGP,0.28986933
plastic,Inside_GPGP,0.33872248
plastic,Inside_GPGP,0.25315112
plastic,Inside_GPGP,0.28954476
plastic,Inside_GPGP,0.35747175
plastic,Inside_GPGP,0.45742094
plastic,Inside_GPGP,0.23957577
plastic,Inside_GPGP,0.53939911
plastic,Inside_GPGP,0.04600153
plastic,Inside_GPGP,0.2319986
plastic,Inside_GPGP,0.04166984
plastic,Inside_GPGP,0.11937648
plastic,Inside_GPGP,0.05010513
plastic,Inside_GPGP,0.03434691
plastic,Inside_GPGP,0.07867912
plastic,Inside_GPGP,0.07062321
plastic,Inside_GPGP,0.072259
plastic,Inside_GPGP,0.07571275
plastic,Inside_GPGP,0.53383465
plastic,Inside_GPGP,0.0212004
plastic,Inside_GPGP,0.16294985
plastic,Inside_GPGP,0.16152486
plastic,Inside_GPGP,0.00528102
plastic,Inside_GPGP,0.00729162
plastic,Inside_GPGP,0.00555552
plastic,Inside_GPGP,0.07694422
plastic,Inside_GPGP,0.15564302
plastic,Inside_GPGP,0.03265921
plastic,Inside_GPGP,0.12242965
plastic,Inside_GPGP,0.16440819
plastic,Inside_GPGP,0.17720014
plastic,Inside_GPGP,0.3830578
plastic,Inside_GPGP,0.50433359
plastic,Inside_GPGP,0.47242441
plastic,Inside_GPGP,0.33759697
plastic,Inside_GPGP,0.64086505
plastic,Inside_GPGP,0.81331365
plastic,Inside_GPGP,0.32983484
plastic,Inside_GPGP,0.47157452
plastic,Inside_GPGP,0.92175657
plastic,Inside_GPGP,0.03994968
plastic,Inside_GPGP,0.08001165
plastic,Inside_GPGP,0.02611399
plastic,Inside_GPGP,0.02111702
plastic,Inside_GPGP,0.05131527
plastic,Inside_GPGP,0.0268155
plastic,Inside_GPGP,0.00945049
plastic,Inside_GPGP,0.02062354
plastic,Inside_GPGP,0.21639307
plastic,Inside_GPGP,0.10486557
plastic,Inside_GPGP,0.06829781
plastic,Inside_GPGP,0.09157049
plastic,Inside_GPGP,0.02991093
plastic,Inside_GPGP,0.73135277
plastic,Inside_GPGP,0.22840798
plastic,Inside_GPGP,0.37275975
plastic,Inside_GPGP,0.25106131
plastic,Inside_GPGP,0.29392486
plastic,Inside_GPGP,0.21698419
plastic,Inside_GPGP,0.11812502
plastic,Inside_GPGP,0.10598559
plastic,Inside_GPGP,0.12631421
plastic,Inside_GPGP,0.09935863
plastic,Inside_GPGP,0.79899937
plastic,Inside_GPGP,0.58408786
plastic,Inside_GPGP,1.06843619
plastic,Inside_GPGP,0.37033258
plastic,Inside_GPGP,0.26634641
plastic,Inside_GPGP,0.32293854
plastic,Inside_GPGP,0.1439776
plastic,Inside_GPGP,0.22795247
plastic,Inside_GPGP,0.21724427
plastic,Inside_GPGP,0.21523538
plastic,Inside_GPGP,0.14228708
plastic,Inside_GPGP,0.03581571
plastic,Inside_GPGP,0.44439633
plastic,Inside_GPGP,0.2187088
plastic,Inside_GPGP,0.28118174
plastic,Inside_GPGP,0.14317506
plastic,Inside_GPGP,0.18169785
